genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	start	end	strand	na_length	gene	product	plfam_id	pgfam_id
470145.69	Phocaeicola coprocola DSM 17136 FDAARGOS_1577	JAJFOL010000001	PATRIC	repeat_region	fig|470145.69.repeat.155		1	11534	+	11534		repeat region		
470145.69	Phocaeicola coprocola DSM 17136 FDAARGOS_1577	JAJFOL010000001	PATRIC	CDS	fig|470145.69.peg.2579	LK442_00005	261	515	-	255		hypothetical protein		
470145.69	Phocaeicola coprocola DSM 17136 FDAARGOS_1577	JAJFOL010000001	PATRIC	CDS	fig|470145.69.peg.2580	LK442_00010	724	897	-	174		hypothetical protein		PGF_00157101
470145.69	Phocaeicola coprocola DSM 17136 FDAARGOS_1577	JAJFOL010000001	PATRIC	CDS	fig|470145.69.peg.2581	LK442_00015	1387	1860	-	474		FtsI-like protein		PGF_00896167
470145.69	Phocaeicola coprocola DSM 17136 FDAARGOS_1577	JAJFOL010000001	PATRIC	CDS	fig|470145.69.peg.2582		2302	2391	-	90		hypothetical protein		
470145.69	Phocaeicola coprocola DSM 17136 FDAARGOS_1577	JAJFOL010000001	PATRIC	CDS	fig|470145.69.peg.2583		2499	2639	-	141		hypothetical protein		PGF_10574378
470145.69	Phocaeicola coprocola DSM 17136 FDAARGOS_1577	JAJFOL010000001	PATRIC	CDS	fig|470145.69.peg.2584	LK442_00020	2763	2960	-	198		hypothetical protein		PGF_00161308
470145.69	Phocaeicola coprocola DSM 17136 FDAARGOS_1577	JAJFOL010000001	PATRIC	CDS	fig|470145.69.peg.2585	LK442_00025	3043	3267	-	225		hypothetical protein		PGF_00161766
470145.69	Phocaeicola coprocola DSM 17136 FDAARGOS_1577	JAJFOL010000001	PATRIC	CDS	fig|470145.69.peg.2586	LK442_00030	3327	3719	-	393		hypothetical protein		PGF_08144556
470145.69	Phocaeicola coprocola DSM 17136 FDAARGOS_1577	JAJFOL010000001	PATRIC	CDS	fig|470145.69.peg.2587	LK442_00035	3738	4244	-	507		hypothetical protein		PGF_00359537
470145.69	Phocaeicola coprocola DSM 17136 FDAARGOS_1577	JAJFOL010000001	PATRIC	CDS	fig|470145.69.peg.2588	LK442_00040	4256	4726	-	471		hypothetical protein		PGF_00860029
470145.69	Phocaeicola coprocola DSM 17136 FDAARGOS_1577	JAJFOL010000001	PATRIC	CDS	fig|470145.69.peg.2589	LK442_00045	5377	5643	-	267		hypothetical protein		PGF_00853990
470145.69	Phocaeicola coprocola DSM 17136 FDAARGOS_1577	JAJFOL010000001	PATRIC	CDS	fig|470145.69.peg.2590	LK442_00050	5730	6230	-	501		hypothetical protein		PGF_00854374
470145.69	Phocaeicola coprocola DSM 17136 FDAARGOS_1577	JAJFOL010000001	PATRIC	CDS	fig|470145.69.peg.2591		6259	6351	+	93		hypothetical protein		
