genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	start	end	strand	na_length	gene	product	plfam_id	pgfam_id
537011.439	Prevotella copri DSM 18205 FDAARGOS_1573	CP085932	PATRIC	tRNA	fig|537011.439.rna.1	LK433_00005	142	215	-	74		tRNA-Met		
537011.439	Prevotella copri DSM 18205 FDAARGOS_1573	CP085932	PATRIC	CDS	fig|537011.439.peg.1	LK433_00010	476	2374	+	1899		Lipopolysaccharide export system permease protein LptF / Domain of unknown function	PLF_838_00000305	PGF_00116737
537011.439	Prevotella copri DSM 18205 FDAARGOS_1573	CP085932	PATRIC	CDS	fig|537011.439.peg.2	LK433_00015	2403	3614	+	1212		3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12) / GTP cyclohydrolase II (EC 3.5.4.25)	PLF_838_00000088	PGF_00416674
537011.439	Prevotella copri DSM 18205 FDAARGOS_1573	CP085932	PATRIC	CDS	fig|537011.439.peg.3	LK433_00020	3694	4920	+	1227		Aspartate aminotransferase (EC 2.6.1.1)	PLF_838_00000805	PGF_04544396
537011.439	Prevotella copri DSM 18205 FDAARGOS_1573	CP085932	PATRIC	CDS	fig|537011.439.peg.4	LK433_00025	5175	6011	+	837		MotA/TolQ/ExbB proton channel family protein	PLF_838_00000834	PGF_10384183
537011.439	Prevotella copri DSM 18205 FDAARGOS_1573	CP085932	PATRIC	CDS	fig|537011.439.peg.5	LK433_00030	6042	6686	+	645		Biopolymer transport protein ExbD/TolR	PLF_838_00000672	PGF_05541499
537011.439	Prevotella copri DSM 18205 FDAARGOS_1573	CP085932	PATRIC	CDS	fig|537011.439.peg.6	LK433_00035	6687	7334	+	648		Biopolymer transport protein ExbD/TolR	PLF_838_00000640	PGF_05541499
537011.439	Prevotella copri DSM 18205 FDAARGOS_1573	CP085932	PATRIC	CDS	fig|537011.439.peg.7	LK433_00040	7366	8214	+	849		putative TonB-dependent receptor	PLF_838_00001059	PGF_10404334
537011.439	Prevotella copri DSM 18205 FDAARGOS_1573	CP085932	PATRIC	CDS	fig|537011.439.peg.8	LK433_00045	8270	9184	+	915		Putative phosphate ABC transporter, phosphate-binding component	PLF_838_00056505	PGF_02876851
537011.439	Prevotella copri DSM 18205 FDAARGOS_1573	CP085932	PATRIC	CDS	fig|537011.439.peg.9	LK433_00050	9226	10647	+	1422		hypothetical protein	PLF_838_00028619	PGF_08225224
537011.439	Prevotella copri DSM 18205 FDAARGOS_1573	CP085932	PATRIC	CDS	fig|537011.439.peg.10	LK433_00055	10851	11018	-	168		Ferredoxin	PLF_838_00000821	PGF_08546938
537011.439	Prevotella copri DSM 18205 FDAARGOS_1573	CP085932	PATRIC	CDS	fig|537011.439.peg.11	LK433_00060	11242	11988	+	747		PorT protein	PLF_838_00000836	PGF_00034958
537011.439	Prevotella copri DSM 18205 FDAARGOS_1573	CP085932	PATRIC	CDS	fig|537011.439.peg.12	LK433_00065	12067	14205	-	2139		Xylan 1,4-beta-xylosidase (EC 3.2.1.37)	PLF_838_00002647	PGF_00917167
537011.439	Prevotella copri DSM 18205 FDAARGOS_1573	CP085932	PATRIC	CDS	fig|537011.439.peg.13	LK433_00070	14324	16747	-	2424		Putative large secreted protein SCO0341	PLF_838_00002530	PGF_05740997
537011.439	Prevotella copri DSM 18205 FDAARGOS_1573	CP085932	PATRIC	CDS	fig|537011.439.peg.14	LK433_00075	16853	19813	-	2961		Endo-1,4-beta-xylanase (EC 3.2.1.8)	PLF_838_00002124	PGF_00186174
537011.439	Prevotella copri DSM 18205 FDAARGOS_1573	CP085932	PATRIC	CDS	fig|537011.439.peg.15	LK433_00085	19908	21239	-	1332		Hypothetical glycoside hydrolase, family 43, similar to arabinosidase	PLF_838_00013436	PGF_00013070
537011.439	Prevotella copri DSM 18205 FDAARGOS_1573	CP085932	PATRIC	CDS	fig|537011.439.peg.16		21330	21509	-	180		hypothetical protein	PLF_838_00111998	PGF_08458349
537011.439	Prevotella copri DSM 18205 FDAARGOS_1573	CP085932	PATRIC	CDS	fig|537011.439.peg.17	LK433_00090	21513	23084	-	1572		hypothetical protein	PLF_838_00095895	PGF_08225224
